Song_Id,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,release_date,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2469,HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1,1929770265.0,284,114,1481,0,5.0,150,C#,Minor,2017-03-30,91.0,42.0,60.0,0.0,0.0,,12.0
2473,Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2,2022,5,12,2942,0,271666301.0,42,28,43,0,0.0,125,,Major,2022-05-12,50.0,39.0,,4.0,0.0,11.0,33.0
2475,One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433.0,11,58,5,0,21.0,142,G,Major,2022-12-02,61.0,92.0,91.0,0.0,0.0,26.0,3.0
2483,Question...?,Taylor Swift,1,2022,10,21,1608,0,223064273.0,10,3,12,0,0.0,109,G,Major,2022-10-21,75.0,11.0,50.0,20.0,0.0,30.0,
2485,Nxde,(G)I-DLE,1,2022,10,17,430,6,170709584.0,14,116,9,0,11.0,136,E,Minor,2022-10-17,73.0,65.0,91.0,4.0,0.0,48.0,18.0
2487,Notice Me,SZA,1,2022,12,9,819,0,62019074.0,14,22,0,0,0.0,160,F,Major,2022-12-09,72.0,78.0,68.0,,0.0,11.0,12.0
2489,VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,13,415,2,152850295.0,15,40,21,1,15.0,100,,Major,2023-01-13,79.0,60.0,68.0,7.0,0.0,26.0,4.0
2491,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561.0,74,182,87,14,1093.0,99,C#,Major,2023-06-02,85.0,83.0,68.0,7.0,,36.0,20.0
2497,Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,2999,0,261286503.0,60,17,154,0,22.0,108,G,Minor,2021-12-23,96.0,71.0,42.0,57.0,0.0,8.0,9.0
2505,SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654.0,16,149,10,5,168.0,130,G,Minor,2023-06-22,79.0,96.0,86.0,9.0,0.0,9.0,9.0
2509,"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,0,94616487.0,7,11,13,0,0.0,71,C#,Minor,2022-03-03,59.0,70.0,74.0,56.0,,11.0,40.0
2511,"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12,367,0,97610446.0,28,67,195,0,0.0,145,G,Major,2022-07-12,56.0,43.0,53.0,24.0,0.0,12.0,4.0
2513,Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20,1112,4,191873381.0,22,2,65,1,3.0,135,G#,Major,2022-05-20,77.0,74.0,74.0,47.0,0.0,34.0,8.0
2516,Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900.0,98,108,327,17,153.0,114,F,Minor,2021-03-11,77.0,65.0,72.0,2.0,0.0,7.0,5.0
2527,Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,13,3028,0,123216717.0,22,0,23,0,0.0,140,C#,Minor,2022-05-13,,78.0,57.0,46.0,0.0,14.0,9.0
2528,Best Friends,The Weeknd,1,2022,1,7,1292,0,101114984.0,3,18,14,0,0.0,87,E,Minor,2022-01-07,49.0,49.0,59.0,44.0,0.0,35.0,21.0
2529,Love Yourself,Justin Bieber,1,2015,11,9,22730,5,2123309722.0,289,87,2430,0,36.0,100,E,Major,2015-11-09,61.0,53.0,38.0,84.0,0.0,,44.0
2531,ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,1,2020,5,20,685,14,403097450.0,24,94,9,0,23.0,158,F#,Minor,2020-05-20,60.0,52.0,,17.0,0.0,19.0,5.0
2535,Despus de la P,Bad Bunny,1,2022,5,6,2229,0,461558540.0,27,44,24,0,5.0,78,F,Major,2022-05-06,56.0,,90.0,36.0,0.0,18.0,31.0
2540,Those Eyes,New West,1,2019,5,10,1507,14,411747614.0,24,71,44,1,195.0,120,E,Major,2019-05-10,70.0,71.0,58.0,24.0,0.0,,13.0
2541,LOVE DIVE,IVE,1,2022,4,5,753,8,305771063.0,28,124,13,0,1.0,118,C#,Minor,2022-04-05,,54.0,71.0,0.0,0.0,33.0,4.0
2543,Love Again,The Kid Laroi,1,2023,1,27,1283,0,147538971.0,57,4,48,0,0.0,107,B,Minor,2023-01-27,66.0,47.0,40.0,72.0,0.0,11.0,3.0
2544,Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,8,5,1456,0,219196651.0,53,2,33,0,0.0,120,,Major,2022-08-05,77.0,,87.0,2.0,0.0,23.0,12.0
2545,Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789.0,233,0,4095,9,0.0,138,F,Minor,2008-01-01,49.0,42.0,62.0,9.0,0.0,11.0,3.0
2546,Still Life,BIGBANG,1,2022,4,5,181,0,53909146.0,16,14,7,0,0.0,118,G#,Major,2022-04-05,68.0,24.0,58.0,44.0,0.0,6.0,
2555,MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811.0,1,52,8,0,1170.0,129,A,Major,2012-06-20,63.0,84.0,82.0,,8.0,9.0,7.0
2556,Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053.0,34,65,43,6,2.0,98,G,Minor,2022-05-06,,23.0,48.0,14.0,0.0,,5.0
2557,Lover,Taylor Swift,1,2012,1,1,8448,23,882831184.0,160,110,163,0,5.0,206,G,Major,2012-01-01,43.0,50.0,55.0,50.0,0.0,15.0,10.0
2561,HEARTBREAK ANNIVERSARY,Giveon,1,2020,2,21,5398,4,951637566.0,111,127,210,0,37.0,129,,Major,2020-02-21,61.0,59.0,46.0,56.0,0.0,,5.0
2564,Sticky,Drake,1,2022,6,17,2814,0,191448892.0,38,105,25,0,2.0,137,A#,Minor,2022-06-17,88.0,8.0,49.0,9.0,0.0,9.0,14.0
2566,Devil Don,Morgan Wallen,1,2023,3,3,166,0,32526947.0,2,10,0,0,0.0,125,,Major,2023-03-03,53.0,32.0,66.0,38.0,0.0,9.0,3.0
2567,Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,12,4260,0,1065580332.0,113,92,259,0,1.0,120,B,Minor,2019-04-12,65.0,80.0,86.0,9.0,0.0,19.0,10.0
2573,Swim,Chase Atlantic,1,2017,10,4,2742,0,498960285.0,5,1,62,0,0.0,120,G#,Major,2017-10-04,67.0,8.0,54.0,27.0,0.0,8.0,4.0
2575,Dua Lipa,Jack Harlow,1,2022,5,6,1992,0,150500965.0,35,0,3,0,0.0,158,B,Major,2022-05-06,83.0,41.0,65.0,0.0,10.0,11.0,8.0
2577,Alien Blues,Vundabar,1,2015,7,24,1930,0,370068639.0,3,0,28,0,1.0,82,D#,Major,2015-07-24,47.0,44.0,76.0,8.0,91.0,9.0,3.0
2582,Special,SZA,1,2022,12,9,906,0,88092256.0,6,21,3,0,0.0,76,,Major,2022-12-09,73.0,88.0,67.0,20.0,0.0,32.0,5.0
2588,Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396.0,8,96,5,0,56.0,105,C#,Major,2023-05-22,80.0,69.0,78.0,28.0,0.0,11.0,14.0
2589,Yonaguni,Bad Bunny,1,2021,6,4,9644,28,1260594497.0,120,86,164,4,0.0,180,C#,Major,2021-06-04,64.0,44.0,65.0,28.0,0.0,,12.0
2592,Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043.0,49,98,2394,5,204.0,84,E,Minor,2004-01-01,62.0,24.0,67.0,21.0,0.0,13.0,28.0
2595,Christmas Tree,V,1,2021,12,24,509,9,317622165.0,8,106,6,0,8.0,139,F,Major,2021-12-24,84.0,61.0,42.0,31.0,0.0,9.0,9.0
2596,Take On Me,a-ha,1,1984,10,19,44927,17,1479115056.0,34,0,5108,6,0.0,84,F#,Minor,1984-10-19,57.0,86.0,90.0,2.0,0.0,9.0,5.0
2598,That's Hilarious,Charlie Puth,1,2022,4,8,686,2,146363130.0,11,6,12,0,15.0,108,F#,Major,2022-04-08,71.0,55.0,44.0,74.0,0.0,11.0,6.0
2613,Todo De Ti,Rauw Alejandro,1,2020,11,2,11975,8,1168642797.0,188,75,268,6,16.0,128,D#,Minor,2020-11-02,,57.0,63.0,40.0,1.0,10.0,4.0
2614,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14417,0,1115880852.0,237,123,569,0,10.0,148,F,Major,2021-03-05,59.0,72.0,62.0,18.0,,9.0,
2619,Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11,847,0,64714573.0,25,0,14,0,0.0,140,B,Major,2022-02-11,89.0,75.0,70.0,6.0,0.0,13.0,5.0
2622,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093.0,94,65,164,14,176.0,128,D,Major,2022-07-06,62.0,55.0,78.0,1.0,3.0,23.0,4.0
2625,cmo dormi,Rels B,1,2022,8,4,1452,35,331511413.0,16,15,20,0,0.0,126,C#,Major,2022-08-04,63.0,56.0,43.0,24.0,0.0,,23.0
2641,I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769.0,30,70,142,0,27.0,114,A#,Major,2018-03-29,32.0,17.0,74.0,,0.0,17.0,3.0
2643,10 Things I Hate About You,Leah Kate,1,2022,3,23,1301,0,185550869.0,23,1,15,0,0.0,154,G#,Major,2022-03-23,54.0,45.0,79.0,1.0,0.0,17.0,5.0
2645,Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11215,21,1763363713.0,189,166,525,9,25.0,110,E,Minor,2020-10-30,73.0,14.0,57.0,40.0,0.0,11.0,5.0
2646,Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887,34,1970673297.0,315,160,6284,1,46.0,124,D,Major,2013-01-01,53.0,66.0,78.0,0.0,0.0,16.0,5.0
2649,"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,1678,12,374191487.0,20,4,15,1,3.0,96,C#,Minor,2021-12-29,66.0,76.0,82.0,47.0,0.0,10.0,32.0
2650,La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192.0,47,77,53,10,8.0,123,G#,Major,2022-11-30,71.0,58.0,70.0,30.0,0.0,32.0,19.0
2659,Don't Start Now,Dua Lipa,1,2019,10,31,27119,0,2303033973.0,532,77,1535,3,8.0,124,B,Minor,2019-10-31,79.0,68.0,79.0,1.0,0.0,10.0,8.0
2663,Astronaut In The Ocean,Masked Wolf,1,2019,1,1,7191,0,1138474110.0,146,18,478,0,7.0,150,E,Minor,2019-01-01,78.0,47.0,70.0,18.0,0.0,15.0,9.0
2667,Problem,"Alvaro Diaz, Rauw Alejandro",2,2021,10,22,1517,0,209768491.0,42,7,15,0,4.0,92,D,Minor,2021-10-22,73.0,37.0,74.0,28.0,0.0,14.0,6.0
2675,Take Two,BTS,1,2023,6,9,674,47,118482347.0,20,106,25,4,78.0,93,G,Major,2023-06-09,62.0,57.0,59.0,3.0,0.0,38.0,3.0
2678,BREAK MY SOUL,Beyoncï¿,1,2022,6,21,9724,0,354614964.0,222,61,259,14,2.0,115,C#,Minor,2022-06-21,70.0,87.0,88.0,4.0,0.0,26.0,8.0
2682,Boyfriend,Dove Cameron,1,2022,2,11,3766,0,496311364.0,76,0,102,0,2.0,180,G,Minor,2022-02-11,35.0,23.0,61.0,23.0,0.0,19.0,6.0
2684,Static,Steve Lacy,1,2022,7,15,1613,0,202452860.0,21,15,13,0,0.0,79,C#,Major,2022-07-15,34.0,22.0,31.0,43.0,63.0,,7.0
2685,"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixars Turning Red), Topher Ngo, Grayson Vill",6,2022,2,25,918,0,120847157.0,34,39,30,0,0.0,105,A,Minor,2022-02-25,91.0,73.0,72.0,13.0,0.0,9.0,15.0
2688,El Apag,Bad Bunny,1,2022,5,6,1209,0,212351890.0,9,7,14,0,1.0,118,G#,Major,2022-05-06,63.0,60.0,,5.0,0.0,9.0,31.0
2690,Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814.0,440,125,1800,0,,110,C#,Major,2018-11-08,50.0,45.0,41.0,75.0,0.0,11.0,3.0
2691,Abcdario,"Junior H, Eden Muï",2,2023,5,13,262,5,89933133.0,8,60,4,1,109.0,129,G#,Major,2023-05-13,70.0,42.0,43.0,78.0,0.0,11.0,3.0
2694,Rolling in the Deep,Adele,1,2010,11,29,35684,6,1472799873.0,195,125,6280,2,78.0,105,G#,Major,2010-11-29,73.0,52.0,76.0,13.0,0.0,5.0,3.0
2695,Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148.0,11,54,0,0,103.0,104,G#,Major,2023-01-31,56.0,72.0,85.0,0.0,0.0,15.0,3.0
2696,Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705.0,20,68,50,0,22.0,120,A#,Major,2022-01-21,71.0,57.0,97.0,1.0,0.0,13.0,11.0
2699,Notion,The Rare Occasions,1,2016,8,5,2393,0,421135627.0,22,13,65,0,6.0,160,A,Major,2016-08-05,31.0,30.0,88.0,7.0,0.0,8.0,8.0
2703,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0,57089066.0,34,2,33,0,1.0,126,C#,Major,2023-05-19,78.0,20.0,70.0,1.0,0.0,16.0,4.0
2707,Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693.0,281,137,2445,1,140.0,186,G,Major,2016-09-21,,49.0,59.0,16.0,0.0,13.0,
2708,Columbia,Quevedo,1,2023,7,7,714,43,58149378.0,25,89,30,13,194.0,100,F,Major,2023-07-07,67.0,26.0,71.0,37.0,0.0,11.0,4.0
2709,S-Class,Stray Kids,1,2023,6,2,290,19,65496046.0,9,101,5,0,73.0,105,F,Minor,2023-06-02,89.0,67.0,78.0,9.0,0.0,7.0,33.0
2711,We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13,1635,0,68895644.0,4,1,6,0,0.0,108,B,Major,2022-05-13,65.0,52.0,69.0,31.0,0.0,8.0,36.0
2717,LLYLM,ROSAL,1,2023,1,27,1838,0,124988687.0,105,41,114,1,59.0,170,F#,Minor,2023-01-27,56.0,56.0,63.0,13.0,0.0,19.0,27.0
2718,OMG,NewJeans,1,2023,1,2,1783,27,430977451.0,26,124,15,1,22.0,127,A,Minor,2023-01-02,80.0,74.0,77.0,36.0,0.0,11.0,4.0
2719,Here With Me,d4vd,1,2022,7,17,3246,23,635412045.0,94,85,68,1,84.0,132,E,Major,2022-07-17,71.0,55.0,26.0,85.0,0.0,13.0,8.0
2725,ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775.0,35,102,8,1,117.0,166,C#,Major,2023-04-12,57.0,84.0,94.0,11.0,0.0,37.0,9.0
2728,Streets,Doja Cat,1,2019,11,7,5728,0,865640097.0,85,87,179,0,12.0,90,B,Major,2019-11-07,75.0,19.0,46.0,21.0,4.0,34.0,8.0
2733,Sure Thing,Miguel,1,2010,5,25,13801,19,950906471.0,137,125,435,6,285.0,81,B,Minor,2010-05-25,68.0,51.0,60.0,3.0,0.0,19.0,10.0
2734,Pink + White,Frank Ocean,1,2016,8,20,21574,30,806397070.0,112,68,266,1,39.0,160,A,Major,2016-08-20,54.0,54.0,55.0,67.0,0.0,42.0,11.0
2737,I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,0,91656026.0,9,10,9,0,0.0,110,D,Major,2022-01-07,75.0,85.0,84.0,10.0,0.0,31.0,19.0
2738,Run Rudolph Run - Single Version,Chuck Berry,1,1958,1,1,8612,0,245350949.0,120,30,52,0,1.0,152,G,Minor,1958-01-01,69.0,94.0,,79.0,0.0,7.0,8.0
2743,Do It To It,"Cherish, ACRAZE",2,2021,8,20,12403,0,674772936.0,183,63,465,0,11.0,125,B,Minor,2021-08-20,85.0,64.0,81.0,2.0,5.0,7.0,9.0
2746,Lï¿,Stromae,1,2022,1,9,2035,0,108809090.0,41,122,394,0,2.0,88,D,Minor,2022-01-09,56.0,58.0,55.0,35.0,0.0,23.0,11.0
2747,Major Distribution,"Drake, 21 Savage",2,2022,11,4,1545,0,154863153.0,22,7,15,0,0.0,131,G#,Minor,2022-11-04,91.0,23.0,55.0,1.0,0.0,7.0,32.0
2749,Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401.0,68,21,24,0,259.0,134,C#,Minor,2016-11-24,59.0,51.0,52.0,9.0,0.0,15.0,7.0
2750,Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,1,1,888,0,429504768.0,50,0,6,0,0.0,180,A,Major,1986-01-01,51.0,87.0,58.0,36.0,0.0,18.0,4.0
2755,The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686.0,3,79,21,1,54.0,105,F#,Minor,2021-12-10,65.0,46.0,53.0,16.0,0.0,9.0,5.0
2759,Agosto,Bad Bunny,1,2022,5,6,897,0,246127838.0,6,20,8,0,0.0,115,C#,Minor,2022-05-06,85.0,72.0,58.0,,0.0,49.0,12.0
2762,Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929.0,16,72,5,0,8.0,142,D,Major,2023-07-07,50.0,20.0,64.0,1.0,0.0,12.0,3.0
2765,POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735.0,20,46,21,8,99.0,170,G#,Minor,2023-06-08,62.0,55.0,80.0,,0.0,37.0,7.0
2766,The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,1150,0,184937148.0,20,38,12,0,0.0,141,C#,Major,2021-11-19,59.0,56.0,63.0,12.0,0.0,6.0,36.0
2767,How Do I Make You Love Me?,The Weeknd,1,2022,1,7,1915,0,119238316.0,7,47,15,0,0.0,121,G,Minor,2022-01-07,80.0,62.0,51.0,2.0,0.0,9.0,8.0
2769,Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,5,13,3107,0,127309180.0,4,0,22,0,0.0,153,A#,Minor,2022-05-13,55.0,50.0,78.0,19.0,0.0,11.0,35.0
2776,deja vu,Olivia Rodrigo,1,2021,4,1,7545,4,1256880657.0,117,39,141,0,46.0,181,A,Major,2021-04-01,44.0,22.0,60.0,,0.0,42.0,9.0
2780,Hope,XXXTENTACION,1,2018,3,16,3659,0,1200808494.0,11,10,267,0,7.0,146,A,Minor,2018-03-16,59.0,23.0,46.0,66.0,0.0,15.0,6.0
2782,So Good,Halsey,1,2022,6,9,1057,0,91781263.0,51,14,19,0,0.0,83,D#,Minor,2022-06-09,63.0,29.0,62.0,4.0,0.0,18.0,4.0
2785,Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2025,4,14,1444,4,104992946.0,0,0,0,0,0.0,148,A,Major,2025-04-14,71.0,78.0,40.0,46.0,0.0,7.0,45.0
2790,True Love,"Kanye West, XXXTENTACION",2,2022,5,27,2129,0,194902696.0,23,1,44,1,0.0,84,F,Minor,2022-05-27,71.0,39.0,86.0,2.0,0.0,51.0,25.0
2796,Esquea-Me Se For C,"Marlia Mendona, Maiara &",2,2021,10,14,580,0,258316038.0,24,92,93,0,0.0,122,F#,Minor,2021-10-14,80.0,62.0,69.0,28.0,0.0,13.0,7.0
2799,Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268.0,27,129,21,7,111.0,157,G,Major,2022-12-16,54.0,75.0,60.0,30.0,0.0,7.0,5.0
2801,Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3643,0,354065229.0,69,3,70,0,3.0,110,C#,Minor,2021-09-16,86.0,31.0,53.0,43.0,0.0,11.0,6.0
2803,10:35:00,"Tisto, Tate M",2,2022,11,1,4942,26,325592432.0,190,104,147,18,63.0,120,G#,Major,2022-11-01,70.0,70.0,79.0,7.0,0.0,18.0,10.0
2806,Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9,1634,0,110073250.0,16,20,4,0,0.0,125,F#,Major,2022-12-09,62.0,59.0,43.0,84.0,3.0,11.0,5.0
2809,Novo Balan,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253.0,6,9,26,1,66.0,124,D#,Minor,2023-05-19,84.0,65.0,50.0,,0.0,13.0,6.0
2813,Besos Moja2,"Wisin & Yandel, ROSAL",2,2022,9,29,2460,13,309483971.0,53,7,56,3,1.0,94,F,Minor,2022-09-29,90.0,76.0,81.0,15.0,24.0,33.0,6.0
2816,XQ Te Pones Asï¿,"Yandel, Feid",2,2022,9,13,308,0,47093942.0,6,1,6,0,0.0,92,A#,Major,2022-09-13,81.0,48.0,70.0,13.0,0.0,15.0,7.0
2821,Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526.0,69,113,695,0,458.0,144,E,Minor,2012-01-01,74.0,37.0,53.0,7.0,0.0,21.0,10.0
2826,La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597.0,4,11,5,1,2.0,170,D,Minor,2021-12-24,78.0,75.0,46.0,62.0,0.0,12.0,35.0
2831,We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533.0,321,91,4607,1,58.0,128,C#,Major,2011-01-01,73.0,60.0,77.0,3.0,0.0,11.0,4.0
2833,MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18,12329,0,1735441776.0,275,19,738,0,,179,G#,Minor,2020-09-18,61.0,76.0,51.0,30.0,0.0,,15.0
2835,Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavrez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12,1560,0,223319934.0,72,0,0,0,0.0,84,G,Minor,2021-08-12,56.0,61.0,76.0,10.0,0.0,14.0,11.0
2838,Chale,Eden Muï,1,2022,2,18,695,11,299648208.0,16,41,13,1,1.0,189,G#,Major,2022-02-18,55.0,86.0,44.0,40.0,0.0,7.0,4.0
2839,Blind,SZA,1,2022,12,9,1484,0,163284000.0,22,51,12,0,0.0,114,A,Minor,2022-12-09,,60.0,28.0,91.0,0.0,21.0,4.0
2844,Ain't Shit,Doja Cat,1,2021,6,25,3436,0,499710590.0,32,6,46,0,1.0,124,D#,Major,2021-06-25,90.0,73.0,51.0,,0.0,9.0,6.0
2848,Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978.0,8,84,5,1,4.0,145,E,Minor,2022-12-30,76.0,80.0,81.0,19.0,0.0,6.0,9.0
2852,People,Libianca,1,2022,12,2,3506,56,373199958.0,105,64,169,8,529.0,198,A#,Minor,2022-12-02,59.0,71.0,42.0,55.0,0.0,10.0,7.0
2866,Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,2021,9,3,5481,0,489945871.0,144,30,86,0,0.0,136,B,Minor,2021-09-03,80.0,33.0,60.0,0.0,0.0,32.0,14.0
2872,Light Switch,Charlie Puth,1,2022,1,19,4049,0,500340342.0,119,6,85,1,1.0,184,F#,Major,2022-01-19,,91.0,63.0,11.0,0.0,9.0,31.0
2873,Keep Driving,Harry Styles,1,2022,5,20,2094,1,236060709.0,8,1,18,0,0.0,165,A,Major,2022-05-20,72.0,90.0,48.0,32.0,0.0,18.0,
2876,Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982.0,3,1,36,1,37.0,105,F,Minor,2014-06-05,56.0,57.0,87.0,0.0,1.0,10.0,4.0
2877,Me Fui de Vacaciones,Bad Bunny,1,2022,5,6,1443,0,305650299.0,9,11,22,1,0.0,85,A#,Major,2022-05-06,71.0,43.0,65.0,23.0,0.0,9.0,5.0
2879,Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613.0,166,42,199,16,58.0,115,A#,Major,2022-05-20,71.0,90.0,73.0,30.0,0.0,11.0,5.0
2881,Vigilante Shit,Taylor Swift,1,2022,10,21,1948,0,253650850.0,12,9,16,0,0.0,80,E,Minor,2022-10-21,80.0,16.0,28.0,17.0,0.0,12.0,39.0
2891,Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10,2313,0,136676504.0,34,0,29,0,0.0,120,G,Major,2022-06-10,,15.0,56.0,1.0,0.0,8.0,6.0
2892,Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13,2308,0,76831876.0,7,0,7,0,0.0,138,D#,Minor,2022-05-13,57.0,71.0,82.0,19.0,0.0,15.0,29.0
2893,Rich - Interlude,Kendrick Lamar,1,2022,5,13,1103,0,41210087.0,0,0,0,0,0.0,104,G,Major,2022-05-13,44.0,74.0,42.0,88.0,0.0,9.0,9.0
2895,Grapejuice,Harry Styles,1,2022,5,20,1986,0,199587884.0,7,1,15,0,0.0,183,F,Major,2022-05-20,65.0,88.0,72.0,36.0,14.0,20.0,3.0
2900,Neverita,Bad Bunny,1,2022,5,6,2590,30,671365962.0,20,64,35,6,0.0,122,A#,Major,2022-05-06,88.0,,,7.0,0.0,14.0,5.0
2912,family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2021,8,27,6308,5,560222750.0,114,15,63,0,2.0,134,C#,Major,2021-08-27,71.0,14.0,61.0,1.0,0.0,23.0,
2917,Lost,Frank Ocean,1,2012,1,1,29499,11,822239726.0,124,27,587,0,4.0,123,A#,Minor,2012-01-01,91.0,49.0,61.0,3.0,0.0,17.0,22.0
2921,Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890.0,33,0,6808,7,0.0,96,C#,Minor,2017-01-06,83.0,93.0,65.0,58.0,0.0,9.0,8.0
2923,Stan,"Eminem, Dido",2,1999,11,21,17115,0,918915401.0,83,63,4180,0,0.0,80,F#,Minor,1999-11-21,58.0,68.0,91.0,2.0,0.0,27.0,11.0
2932,Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0,149778242.0,32,18,39,2,0.0,95,,Major,2023-02-24,64.0,30.0,77.0,46.0,0.0,38.0,6.0
2939,Where Did You Go?,"MNEK, Jax Jones",2,2022,1,26,4531,0,300983101.0,135,74,119,1,18.0,127,A#,Major,2022-01-26,77.0,53.0,78.0,19.0,0.0,29.0,4.0
2941,Numb,"Marshmello, Khalid",2,2022,6,10,3879,2,295307001.0,107,76,86,1,9.0,120,,Minor,2022-06-10,,63.0,77.0,12.0,1.0,10.0,5.0
2942,Night Changes,One Direction,1,2014,11,17,7124,18,1131090940.0,60,20,2,0,,120,G#,Major,2014-11-17,58.0,56.0,83.0,5.0,0.0,7.0,4.0
2950,SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468.0,148,80,226,24,0.0,170,,Major,2022-03-19,56.0,53.0,64.0,11.0,0.0,45.0,6.0
2954,All of Me,John Legend,1,2013,8,1,27221,0,2086124197.0,308,118,4534,2,77.0,120,G#,Major,2013-08-01,42.0,,26.0,92.0,0.0,13.0,3.0
2955,El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850.0,44,64,57,10,110.0,106,A#,Minor,2023-06-02,92.0,53.0,62.0,7.0,0.0,63.0,10.0
2964,Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623.0,116,69,107,3,675.0,107,D,Major,2023-03-23,77.0,,42.0,1.0,1.0,13.0,19.0
